strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
no_buckets,5,5,moon,Nearest Neighbors,0.95,0.9545454545454545,0.9130434782608695,1.0
no_buckets,5,5,moon,Linear SVM,0.875,0.8780487804878048,0.9,0.8571428571428571
no_buckets,5,5,moon,RBF SVM,0.975,0.9767441860465117,0.9545454545454546,1.0
no_buckets,5,5,moon,Gaussian Process,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
no_buckets,5,5,moon,Decision Tree,0.95,0.9545454545454545,0.9130434782608695,1.0
no_buckets,5,5,moon,Random Forest,0.925,0.9268292682926829,0.95,0.9047619047619048
no_buckets,5,5,moon,Neural Net,0.9,0.9,0.9473684210526315,0.8571428571428571
no_buckets,5,5,moon,AdaBoost,0.925,0.9268292682926829,0.95,0.9047619047619048
no_buckets,5,5,moon,Naive Bayes,0.875,0.8780487804878048,0.9,0.8571428571428571
no_buckets,5,5,moon,QDA,0.85,0.8571428571428571,0.8571428571428571,0.8571428571428571
no_buckets,5,5,radial,Nearest Neighbors,0.925,0.9361702127659574,0.9565217391304348,0.9166666666666666
no_buckets,5,5,radial,Linear SVM,0.4,0.0,0.0,0.0
no_buckets,5,5,radial,RBF SVM,0.875,0.8837209302325582,1.0,0.7916666666666666
no_buckets,5,5,radial,Gaussian Process,0.9,0.9090909090909091,1.0,0.8333333333333334
no_buckets,5,5,radial,Decision Tree,0.775,0.7999999999999999,0.8571428571428571,0.75
no_buckets,5,5,radial,Random Forest,0.775,0.7999999999999999,0.8571428571428571,0.75
no_buckets,5,5,radial,Neural Net,0.825,0.8292682926829268,1.0,0.7083333333333334
no_buckets,5,5,radial,AdaBoost,0.825,0.8292682926829268,1.0,0.7083333333333334
no_buckets,5,5,radial,Naive Bayes,0.7,0.6666666666666666,1.0,0.5
no_buckets,5,5,radial,QDA,0.725,0.7027027027027027,1.0,0.5416666666666666
no_buckets,5,5,linear,Nearest Neighbors,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
no_buckets,5,5,linear,Linear SVM,0.925,0.9268292682926829,1.0,0.8636363636363636
no_buckets,5,5,linear,RBF SVM,0.95,0.9523809523809523,1.0,0.9090909090909091
no_buckets,5,5,linear,Gaussian Process,0.95,0.9523809523809523,1.0,0.9090909090909091
no_buckets,5,5,linear,Decision Tree,0.925,0.9333333333333332,0.9130434782608695,0.9545454545454546
no_buckets,5,5,linear,Random Forest,0.95,0.9523809523809523,1.0,0.9090909090909091
no_buckets,5,5,linear,Neural Net,0.95,0.9523809523809523,1.0,0.9090909090909091
no_buckets,5,5,linear,AdaBoost,0.95,0.9523809523809523,1.0,0.9090909090909091
no_buckets,5,5,linear,Naive Bayes,0.95,0.9523809523809523,1.0,0.9090909090909091
no_buckets,5,5,linear,QDA,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,5,moon,Nearest Neighbors,0.775,0.8085106382978723,0.7307692307692307,0.9047619047619048
uniform,5,5,moon,Linear SVM,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,5,moon,RBF SVM,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,5,moon,Gaussian Process,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,5,moon,Decision Tree,0.8,0.8333333333333334,0.7407407407407407,0.9523809523809523
uniform,5,5,moon,Random Forest,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,5,moon,Neural Net,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,5,5,moon,AdaBoost,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,5,moon,Naive Bayes,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,5,moon,QDA,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,5,radial,Nearest Neighbors,0.85,0.8571428571428571,1.0,0.75
uniform,5,5,radial,Linear SVM,0.4,0.0,0.0,0.0
uniform,5,5,radial,RBF SVM,0.825,0.8372093023255814,0.9473684210526315,0.75
uniform,5,5,radial,Gaussian Process,0.85,0.8571428571428571,1.0,0.75
uniform,5,5,radial,Decision Tree,0.725,0.7027027027027027,1.0,0.5416666666666666
uniform,5,5,radial,Random Forest,0.8,0.8400000000000001,0.8076923076923077,0.875
uniform,5,5,radial,Neural Net,0.825,0.8444444444444444,0.9047619047619048,0.7916666666666666
uniform,5,5,radial,AdaBoost,0.725,0.7027027027027027,1.0,0.5416666666666666
uniform,5,5,radial,Naive Bayes,0.85,0.8571428571428571,1.0,0.75
uniform,5,5,radial,QDA,0.775,0.7692307692307693,1.0,0.625
uniform,5,5,linear,Nearest Neighbors,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,5,linear,Linear SVM,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,5,linear,RBF SVM,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091
uniform,5,5,linear,Gaussian Process,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091
uniform,5,5,linear,Decision Tree,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,5,linear,Random Forest,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,5,linear,Neural Net,0.875,0.8837209302325582,0.9047619047619048,0.8636363636363636
uniform,5,5,linear,AdaBoost,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,5,linear,Naive Bayes,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,5,linear,QDA,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,6,moon,Nearest Neighbors,0.775,0.8085106382978723,0.7307692307692307,0.9047619047619048
uniform,5,6,moon,Linear SVM,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,6,moon,RBF SVM,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,6,moon,Gaussian Process,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,6,moon,Decision Tree,0.8,0.8333333333333334,0.7407407407407407,0.9523809523809523
uniform,5,6,moon,Random Forest,0.9,0.9,0.9473684210526315,0.8571428571428571
uniform,5,6,moon,Neural Net,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,6,moon,AdaBoost,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,6,moon,Naive Bayes,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,6,moon,QDA,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,6,radial,Nearest Neighbors,0.85,0.8571428571428571,1.0,0.75
uniform,5,6,radial,Linear SVM,0.4,0.0,0.0,0.0
uniform,5,6,radial,RBF SVM,0.825,0.8372093023255814,0.9473684210526315,0.75
uniform,5,6,radial,Gaussian Process,0.85,0.8571428571428571,1.0,0.75
uniform,5,6,radial,Decision Tree,0.725,0.7027027027027027,1.0,0.5416666666666666
uniform,5,6,radial,Random Forest,0.825,0.8444444444444444,0.9047619047619048,0.7916666666666666
uniform,5,6,radial,Neural Net,0.825,0.8444444444444444,0.9047619047619048,0.7916666666666666
uniform,5,6,radial,AdaBoost,0.725,0.7027027027027027,1.0,0.5416666666666666
uniform,5,6,radial,Naive Bayes,0.85,0.8571428571428571,1.0,0.75
uniform,5,6,radial,QDA,0.775,0.7692307692307693,1.0,0.625
uniform,5,6,linear,Nearest Neighbors,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,6,linear,Linear SVM,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,6,linear,RBF SVM,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091
uniform,5,6,linear,Gaussian Process,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091
uniform,5,6,linear,Decision Tree,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,6,linear,Random Forest,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,6,linear,Neural Net,0.875,0.8837209302325582,0.9047619047619048,0.8636363636363636
uniform,5,6,linear,AdaBoost,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,6,linear,Naive Bayes,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,6,linear,QDA,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,7,moon,Nearest Neighbors,0.775,0.8085106382978723,0.7307692307692307,0.9047619047619048
uniform,5,7,moon,Linear SVM,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,7,moon,RBF SVM,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,7,moon,Gaussian Process,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,7,moon,Decision Tree,0.8,0.8333333333333334,0.7407407407407407,0.9523809523809523
uniform,5,7,moon,Random Forest,0.8,0.8333333333333334,0.7407407407407407,0.9523809523809523
uniform,5,7,moon,Neural Net,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,5,7,moon,AdaBoost,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,7,moon,Naive Bayes,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
uniform,5,7,moon,QDA,0.85,0.8500000000000001,0.8947368421052632,0.8095238095238095
